layer,arm0,arm1,arm2,arm3,arm4
12,0.166,0.20066666666666666,0.20133333333333334,0.29333333333333333,0.2713333333333333
13,0.15866666666666668,0.22133333333333333,0.248,0.26866666666666666,0.2753333333333333
14,0.10133333333333333,0.14533333333333334,0.146,0.18466666666666667,0.18133333333333335
15,0.14933333333333335,0.22866666666666666,0.17866666666666667,0.21,0.27066666666666667
16,0.14866666666666667,0.20733333333333334,0.16,0.16933333333333334,0.20866666666666667
17,0.19266666666666668,0.24066666666666667,0.17666666666666667,0.2693333333333333,0.29933333333333334
18,0.22933333333333333,0.23733333333333334,0.19133333333333333,0.262,0.274
19,0.2,0.204,0.19466666666666665,0.27266666666666667,0.2806666666666667
20,0.23533333333333334,0.232,0.22466666666666665,0.24933333333333332,0.25333333333333335
21,0.21666666666666667,0.22066666666666668,0.22533333333333333,0.25466666666666665,0.25933333333333336
22,0.232,0.228,0.226,0.262,0.25133333333333335
23,0.28933333333333333,0.2793333333333333,0.25133333333333335,0.314,0.2753333333333333
